path,size_bytes,mime,ext
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v1_np1.log,895,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v4_np1.log,196,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np4.log,215,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v1.log,353,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v3_np1.log,162,text/plain,.log
logs/run_20250509_115808_DESKTOP-B5PMJB5/run_v4_np4.log,195,text/plain,.log
logs/run_20250508_185132_nixos/make_v2_2.2_scatter_halo_np2.log,494,text/plain,.log
logs/run_20250508_185132_nixos/make_v2_2.1_broadcast_all_np2.log,534,text/plain,.log
logs/run_20250508_185132_nixos/run_v2_2.1_broadcast_all_np4.log,99,text/plain,.log
logs/run_20250508_185132_nixos/make_v2_2.2_scatter_halo_np4.log,494,text/plain,.log
logs/run_20250508_185132_nixos/run_v4_np2.log,195,text/plain,.log
logs/run_20250508_185132_nixos/make_v2_2.1_broadcast_all_np4.log,534,text/plain,.log
logs/run_20250508_185132_nixos/run_v2_2.1_broadcast_all_np2.log,99,text/plain,.log
logs/run_20250508_185132_nixos/make_v4.log,1978,text/plain,.log
logs/run_20250508_185132_nixos/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/run_20250508_185132_nixos/make_v3.log,367,text/plain,.log
logs/run_20250508_185132_nixos/run_v1_np1.log,893,text/plain,.log
logs/run_20250508_185132_nixos/run_v4_np1.log,196,text/plain,.log
logs/run_20250508_185132_nixos/run_v2_2.2_scatter_halo_np4.log,215,text/plain,.log
logs/run_20250508_185132_nixos/make_v1.log,353,text/plain,.log
